,col
0,0.5632183908045977
1,0.2138728323699422
2,False
3,False
4,False
5,0.25
6,False
7,0.2191780821917808
8,0.2191780821917808
9,0.56
10,0.56
11,0.3865546218487395
12,0.2
13,0.09941520467836257
14,0.09941520467836257
15,0.19101123595505617
16,0.2857142857142857
17,False
18,False
19,0.42592592592592593
20,False
21,0.345
22,False
23,False
24,0.3068181818181818
25,False
26,False
27,0.6190476190476191
28,False
29,0.17333333333333334
30,False
31,0.17333333333333334
32,0.19696969696969696
33,0.19696969696969696
34,False
35,0.14177215189873418
36,False
37,0.19402985074626866
38,False
39,0.4578313253012048
40,False
41,0.2
42,0.2
43,0.275
44,0.41025641025641024
45,0.41025641025641024
46,0.11009174311926606
47,0.11009174311926606
48,False
49,0.10416666666666667
50,0.5324675324675324
51,0.10416666666666667
52,0.5324675324675324
53,False
54,0.5255474452554745
55,0.5255474452554745
56,False
57,0.3409090909090909
58,0.3409090909090909
59,0.27419354838709675
60,False
61,False
62,0.3146067415730337
63,0.4931506849315068
64,0.4931506849315068
65,0.011363636363636364
66,False
67,0.011363636363636364
68,0.1568627450980392
69,0.1568627450980392
70,False
71,False
72,0.5918367346938775
73,0.5918367346938775
74,0.2857142857142857
75,0.43529411764705883
76,0.43529411764705883
77,0.2803738317757009
78,0.2803738317757009
79,0.20164609053497942
80,0.20164609053497942
81,0.49122807017543857
82,0.49122807017543857
83,False
84,0.3484848484848485
85,0.3484848484848485
86,False
87,False
88,False
89,0.66
90,0.66
91,False
92,False
93,False
94,False
95,False
96,0.2558139534883721
97,0.2558139534883721
98,0.38095238095238093
99,0.38095238095238093
100,0.020080321285140562
101,0.020080321285140562
102,False
103,False
104,0.3870967741935484
105,0.3870967741935484
106,False
107,0.4791666666666667
108,False
109,0.2727272727272727
110,0.47674418604651164
111,0.2727272727272727
112,0.16279069767441862
113,0.16279069767441862
114,0.3076923076923077
115,0.3076923076923077
116,0.16296296296296298
117,0.32
118,0.32
119,0.5512820512820513
120,0.5512820512820513
121,False
122,False
123,0.26704545454545453
124,False
125,0.26704545454545453
126,False
127,False
128,0.13815789473684212
129,0.13815789473684212
130,0.39622641509433965
131,0.32
132,0.39622641509433965
133,0.4095238095238095
134,0.2608695652173913
135,0.4095238095238095
136,0.16326530612244897
137,0.4782608695652174
138,0.4782608695652174
139,False
140,False
141,False
142,0.6909090909090909
143,False
144,0.6909090909090909
145,False
146,False
147,0.5473684210526316
148,0.5473684210526316
149,0.13095238095238096
150,0.6538461538461539
151,0.6538461538461539
152,False
153,False
154,0.5108225108225108
155,0.4462809917355372
156,0.4462809917355372
157,0.14285714285714285
158,0.14285714285714285
159,0.1
160,0.40860215053763443
161,0.4393939393939394
162,0.40860215053763443
163,0.4393939393939394
164,False
165,False
166,False
167,0.3389830508474576
168,0.7108433734939759
169,0.7108433734939759
170,0.3
171,0.3
172,0.22598870056497175
173,0.22598870056497175
174,0.2708333333333333
175,0.2708333333333333
176,0.29508196721311475
177,0.29508196721311475
178,0.28205128205128205
179,0.3629032258064516
180,0.3629032258064516
181,0.0390625
182,0.24060150375939848
183,0.0390625
184,0.37735849056603776
185,0.37735849056603776
186,False
187,False
188,0.5393258426966292
189,0.6666666666666666
190,0.6666666666666666
191,0.3
192,0.3
193,0.2838709677419355
194,False
195,False
196,0.44047619047619047
197,0.358695652173913
198,0.44047619047619047
199,False
200,False
201,False
202,0.30952380952380953
203,0.30952380952380953
204,0.6881188118811881
205,0.6881188118811881
206,False
207,0.3684210526315789
208,0.3684210526315789
209,0.14705882352941177
210,False
211,False
212,False
213,False
214,0.32323232323232326
215,False
216,0.32323232323232326
217,0.5142857142857142
218,0.29333333333333333
219,0.5142857142857142
220,0.1834319526627219
221,0.1834319526627219
222,0.08737864077669903
223,0.18439716312056736
224,0.08737864077669903
225,0.2037914691943128
226,0.2037914691943128
227,0.23076923076923078
228,0.39869281045751637
229,0.39869281045751637
230,0.4864864864864865
231,0.4864864864864865
232,0.08579881656804733
233,0.08579881656804733
234,0.5238095238095238
235,0.5795454545454546
236,0.5795454545454546
237,0.37037037037037035
238,0.37037037037037035
239,0.13333333333333333
240,False
241,False
242,0.4146341463414634
243,0.4146341463414634
244,False
245,False
246,0.7627118644067796
247,0.7627118644067796
248,0.24806201550387597
249,0.0
250,0.0
251,False
252,0.14678899082568808
253,False
254,False
255,0.11764705882352941
256,0.11764705882352941
257,False
258,0.3418803418803419
259,False
260,0.3418803418803419
261,False
262,False
263,False
264,0.1111111111111111
265,0.3026315789473684
266,0.46938775510204084
267,0.3026315789473684
268,0.46938775510204084
269,0.4322033898305085
270,0.4322033898305085
271,0.21052631578947367
272,0.21052631578947367
273,0.16326530612244897
274,False
275,False
276,0.1728395061728395
277,False
278,0.024271844660194174
279,0.3333333333333333
280,0.024271844660194174
281,0.1724137931034483
282,0.1724137931034483
283,0.6818181818181818
284,0.6818181818181818
285,0.5081967213114754
286,0.42105263157894735
287,0.42105263157894735
288,0.16216216216216217
289,0.32231404958677684
290,0.32231404958677684
291,0.3020833333333333
292,0.37037037037037035
293,0.3020833333333333
294,0.22916666666666666
295,0.22916666666666666
296,0.13559322033898305
297,0.575
298,0.13559322033898305
299,0.23404255319148937
300,False
301,0.23404255319148937
302,0.16176470588235295
303,0.16176470588235295
304,False
305,False
306,0.24719101123595505
307,0.24719101123595505
308,0.05917159763313609
309,0.2553191489361702
310,0.2553191489361702
311,0.12830188679245283
312,0.41081081081081083
313,0.12830188679245283
314,0.43548387096774194
315,0.43548387096774194
316,0.36486486486486486
317,0.06172839506172839
318,0.38333333333333336
319,0.38333333333333336
320,0.4074074074074074
321,0.4074074074074074
322,0.34
323,0.11538461538461539
324,0.11538461538461539
325,0.37254901960784315
326,0.37254901960784315
327,0.1271186440677966
328,0.5
329,0.1271186440677966
330,0.5
331,False
332,0.26
333,0.26
334,0.5
335,False
336,False
337,0.375
338,0.26804123711340205
339,0.375
340,0.4482758620689655
341,0.375
342,0.10486891385767791
343,0.10486891385767791
344,False
345,False
346,0.17575757575757575
347,0.17575757575757575
348,0.34375
349,False
350,False
351,False
352,False
353,0.125
354,0.203125
355,0.203125
356,0.5054945054945055
357,0.1794871794871795
358,0.5054945054945055
359,0.25
360,0.25
361,0.5079365079365079
362,0.5079365079365079
363,0.59375
364,0.4
365,0.4
366,0.8
367,0.8
368,0.3241758241758242
369,False
370,0.3241758241758242
371,0.16393442622950818
372,0.16393442622950818
373,0.19047619047619047
374,0.25806451612903225
375,0.25806451612903225
376,0.16030534351145037
377,0.16030534351145037
378,False
